MSOA11CD,green_area
E02000001,55339.928903022366
E02000180,15065.659008541323
E02000183,137945.75434040386
E02000184,25470.75786358651
E02000186,296178.3980579249
E02000187,36253.27602879581
E02000188,9401.605250003646
E02000189,11583.849849997028
E02000190,56259.49804999044
E02000191,11521.591115694775
E02000192,1388.3742499991845
E02000193,90827.21208286722
E02000362,290395.39245919
E02000364,25719.55888330685
E02000365,24770.49313187424
E02000366,102279.78914234144
E02000367,114350.03738729653
E02000368,117011.68332224598
E02000369,21490.83498392973
E02000370,95201.0288274976
E02000371,31543.409833122314
E02000372,323390.82351362385
E02000375,57901.60503644767
E02000381,21841.623159644587
E02000382,71302.26267071655
E02000383,10900.169440364887
E02000384,26557.964953860224
E02000385,134932.4383708853
E02000386,5795.871223967706
E02000387,54158.599407958056
E02000388,12156.466665195188
E02000389,8921.425400000708
E02000390,9358.625612510668
E02000391,58243.36705001776
E02000392,1192.92454999918
E02000393,41247.66661106207
E02000394,23362.667950006227
E02000395,448854.717340644
E02000396,26237.798100000797
E02000572,20084.18730189821
E02000573,19697.59533148242
E02000574,12179.1813365068
E02000575,38340.787549767236
E02000576,54197.815095259444
E02000577,53260.71401432621
E02000579,28625.667083661818
E02000580,1703.2328226739398
E02000581,36877.91080330368
E02000582,28617.92360000252
E02000583,8470.017332675043
E02000584,134539.79446391074
E02000585,240409.60407803176
E02000586,1621.600800000734
E02000587,8972.833992397014
E02000588,126.64080000036398
E02000589,10904.771100002143
E02000590,1541.3979000013587
E02000593,73882.6266877513
E02000594,142378.33805000706
E02000595,26505.02199240525
E02000596,88960.4106140192
E02000597,18116.10071456957
E02000619,50855.62579664204
E02000620,51111.218461736964
E02000621,45418.7408773432
E02000622,187874.0576154872
E02000623,6896.584917828421
E02000624,67581.21982102147
E02000625,61584.780542230525
E02000628,41054.45804232508
E02000629,12938.143474333383
E02000630,58618.92458530253
E02000633,32517.92119148708
E02000726,359394.87389423564
E02000808,26091.927594451903
E02000809,36108.1626035453
E02000810,37295.979057469456
E02000812,43251.46445218411
E02000813,219374.3487355988
E02000815,35298.47585000583
E02000818,48509.55844698988
E02000820,16240.413207583955
E02000864,465321.9725164407
E02000865,6700.2411126839415
E02000866,542190.4815355404
E02000867,19704.189299998965
E02000868,13951.025600000294
E02000869,31390.850350004486
E02000870,49055.884023346494
E02000871,16827.325200001735
E02000872,30966.579361058106
E02000873,35873.3659687154
E02000874,45267.795001169434
E02000875,74593.50307347563
E02000876,91725.37967237408
E02000877,252859.7443314001
E02000878,4391.202600000752
E02000879,63157.027899999026
E02000880,3531.4897000030205
E02000881,33816.32434322511
E02000882,56429.61405000878
E02000883,11543.108456464292
E02000884,18134.094000000132
E02000885,21168.014242985537
E02000886,48839.61939528796
E02000887,79412.16181323113
E02000888,64475.77002815161
E02000889,29391.470999997313
E02000890,38472.557405685555
E02000891,26588.68998910398
E02000893,175931.20746967438
E02000894,1388.9726345987217
E02000923,685451.4948254661
E02000924,309555.04059448105
E02000925,17586.279399993895
E02000926,15980.721549994274
E02000927,5538.933749997878
E02000928,247664.30957443328
E02000929,39138.895346091165
E02000930,50537.87515385623
E02000931,309723.7830782713
E02000932,94725.51346646114
E02000933,14226.10200000042
E02000934,2592.991599998226
E02000936,3338.6161999981427
E02000940,214755.42621391086
E02000941,138223.5336694358
E02000960,347123.7207573065
E02000962,32669.489600003682
E02000966,3063.1916062244163
E02000967,835550.3332218024
E02000968,36259.367133177984
E02000969,39825.44200000778
E02000970,43603.56204162753
E02000971,3917.2374499993534
E02000972,8717.086699998292
E02000973,603.7014499998395
E02000974,172.47735000029004
E02000976,509.91150000082354
E02000977,348957.4317330633
E02000978,2285941.029448755
E02000979,217354.00558504622
E02000980,39962.89753836426
E02000981,4840.421449997785
E02000982,6829.874791427615
E02000983,22518.310314515664
E02006801,94197.16301372348
E02006802,89097.53979999185
E02006853,24890.378875262813
E02006854,14009.690867477371
