MSOA11CD,bike_stations_density
E02000001,43
E02000180,1
E02000183,2
E02000184,4
E02000186,9
E02000187,6
E02000188,5
E02000189,6
E02000190,4
E02000191,12
E02000192,5
E02000193,14
E02000362,3
E02000364,1
E02000365,1
E02000366,1
E02000367,4
E02000368,3
E02000369,4
E02000370,5
E02000371,16
E02000372,1
E02000375,5
E02000378,3
E02000381,3
E02000382,1
E02000383,5
E02000384,4
E02000385,3
E02000386,2
E02000387,5
E02000388,2
E02000389,3
E02000390,2
E02000391,5
E02000392,3
E02000393,1
E02000394,4
E02000395,5
E02000396,5
E02000572,6
E02000573,4
E02000574,8
E02000575,10
E02000576,9
E02000577,2
E02000579,2
E02000580,4
E02000581,6
E02000582,3
E02000583,5
E02000584,7
E02000585,7
E02000586,6
E02000587,4
E02000588,7
E02000589,3
E02000590,7
E02000591,4
E02000592,7
E02000593,2
E02000594,5
E02000595,5
E02000596,4
E02000597,4
E02000619,6
E02000620,13
E02000621,3
E02000622,1
E02000623,3
E02000624,2
E02000625,6
E02000628,4
E02000629,2
E02000630,4
E02000633,1
E02000726,6
E02000808,15
E02000809,6
E02000810,2
E02000812,5
E02000813,3
E02000815,5
E02000818,6
E02000820,3
E02000864,4
E02000865,2
E02000866,4
E02000867,6
E02000868,4
E02000869,5
E02000870,2
E02000871,2
E02000872,4
E02000873,3
E02000874,3
E02000875,3
E02000876,4
E02000877,7
E02000878,6
E02000879,2
E02000880,6
E02000881,2
E02000882,3
E02000883,2
E02000884,6
E02000885,2
E02000886,1
E02000887,5
E02000888,3
E02000889,5
E02000890,6
E02000891,8
E02000893,4
E02000894,2
E02000923,6
E02000924,11
E02000925,4
E02000926,3
E02000927,3
E02000928,2
E02000929,5
E02000930,5
E02000931,2
E02000932,12
E02000933,1
E02000934,6
E02000936,2
E02000940,1
E02000941,1
E02000960,3
E02000962,6
E02000966,4
E02000967,10
E02000968,7
E02000969,1
E02000970,14
E02000971,7
E02000972,21
E02000973,4
E02000974,9
E02000975,3
E02000976,7
E02000977,32
E02000978,20
E02000979,18
E02000980,8
E02000981,5
E02000982,5
E02000983,4
E02006801,18
E02006802,10
E02006853,3
E02006854,9
